,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Gata3-384,6.251398989180699,2.0521347802303396,0.20311166520102059,0.15478483223986386,-0.6025925081597766,0.012518329027944856
Gata6-382,7.028434189776486,2.678253692188202,0.0418897875922874,0.3401944686677172,-0.7411123261766002,-0.07067680741896235
Gata5-385,7.148396100035015,2.7202960910331737,0.017573753445231204,0.21219088275209969,-0.6931404125352555,-0.0694866304198021
Gata4-386,6.91004794604081,2.6137622768190063,0.05771861155862988,0.29642474015769815,-0.5570885896049289,-0.10151972923761055
Gata2-383,7.130068120022774,2.8032158657379065,0.1897172363565974,0.5729449170259323,-0.5118492004738379,-0.027886895863264132
Gata1-387,7.37943394408908,2.7876071504834927,0.026004157443905968,0.447327476892487,-0.7650353710998427,-0.08449874099434722
Nfkb1-701,-2.090618304554278,-1.1314958720879713,-1.6101634950021015,-0.854706223634748,-0.36804752197345464,-1.055746326248558
Rel-697,-1.6977595722871388,-0.6294265760227054,-1.104288745553175,-0.5995980048133681,-0.05233839182990553,-0.8641467646368213
Nfkb2-699,-1.5164165813481212,-0.7477760341087326,-1.245386447125995,-0.3193708388219199,-0.06954897702181247,-0.6554824941774905
Sfpi1-265,-3.5509200926889752,-1.9561758486416896,-1.7980190304460768,-0.6340559487914139,0.5907251816396486,-0.32405384391354586
Bcl11a-795,-2.675380888784315,-1.4102392713851957,-1.9710828787467858,-0.6959928322236402,0.2973162591497357,-0.46006685105845785
Bcl11b-814,-2.675380888784315,-1.4102392713851957,-1.9710828787467858,-0.6959928322236402,0.2973162591497357,-0.46006685105845785
Spic-269,-2.5353692147945006,-1.1387007976264927,-1.0770304250781095,-0.2060350769762082,0.6699549866466106,-0.04999467275747623
Spib-271,-2.6806234177526362,-0.9762407025126698,-1.0000305801133764,-0.17732315679601438,0.38988482513042666,-0.12385433182748179
Fosb-98,0.17646847930970633,-0.5807841985505416,-1.1636619310271519,-1.0894865310717365,-1.6532425982555066,-0.9236954724711927
Fos-104,0.4381820899694679,-0.4661538098367621,-1.2449362355036897,-0.9254270846458997,-1.8130718366984415,-0.8454143713565416
Smarcc1-843,0.5896719853850633,-0.42338203547052394,-1.1488725379794154,-0.8676582474840165,-2.0517378039439373,-0.8907046104889046
Ctcf-146,1.1692212225402205,1.418197702933738,1.277178724418466,0.7074486989167095,0.5200863877448398,0.3974216201533047
Ctcfl-820,1.6452433064360785,1.3050115057066978,1.3302860386092519,0.6676267580053721,0.18484448674844164,0.4229684991114528
Cebpd-97,0.05368074465194392,-0.9555576618763056,1.4663357691889818,-0.8151594735737072,-0.24691495980040576,0.6023312313571321
Cebpb-130,0.05368074465194392,-0.9555576618763056,1.4663357691889818,-0.8151594735737072,-0.24691495980040576,0.6023312313571321
Cebpg-129,-0.05416338333927978,-1.1338096895833547,1.7662688771136807,-1.0881197443611257,-0.31627769388628174,0.5567886081400987
Atf5-791,-0.42977501232760823,-1.1485441672003855,2.063998293842555,-1.033023802022516,-0.5931707371199991,0.6484156369086719
Mef2a-640,-0.49984757792695006,0.003818918149241796,-0.7754259343664415,0.3750646945348127,0.8417352319295034,0.08920450546006403
Mef2c-638,-0.4258688708284487,-0.17773094919066199,-0.6200613767271397,0.30688826581775236,0.7405815375678781,0.07761558827038612
Mef2d-842,-0.7764351817137833,-0.040913407638159593,-0.6131196435142819,0.19907054295091328,0.8273223248006539,0.15389798230249643
Mef2b-882,-0.7764351817137833,-0.040913407638159593,-0.6131196435142819,0.19907054295091328,0.8273223248006539,0.15389798230249643
Irf2-636,-0.9678916118905918,-0.4084156394554437,-0.46697367867978395,0.03577262454240603,0.2465610245132681,0.10107210132577742
Prdm1-189,-0.8712341218169813,-0.2028060196601556,-0.312251018469469,-0.022378026866554004,0.40962703762681235,-0.01690724346627439
Irf4-632,-1.2050405043109618,-0.29476119575365906,-0.3693344124809254,-0.2452629026176224,0.5172128654208633,0.05312292916747536
Elf1-285,-1.338877376155275,0.06468524921245573,-0.5257966195959253,0.5730882265103368,0.5134750427640972,0.19375218219328985
Ehf-275,-1.627249301857559,-0.488123921091391,-0.529346229298156,0.08807201788594433,0.46606153182953824,0.16211544116423005
Elf5-281,-1.9000590585842472,-0.48984633306057046,-0.460582963996501,0.01870105531657651,0.3716624309428405,0.16813923701645245
Irf1-631,-1.8376711785092574,-0.39518603118337237,-0.7669755464323968,0.12759020195513643,0.8167275020440313,0.1337806912665629
Stat2-758,-1.6329096180684404,-0.5632438200176921,-1.0249356651429185,-0.06882762115554236,0.8215741725637814,0.025233144680970578
Nr1h4-850,-1.090795298802763,-0.5191636231704406,-0.34711069399818667,-0.7292319863460197,-0.48930795012347567,-0.44236240056284803
Nr1h5-851,-1.090795298802763,-0.5191636231704406,-0.34711069399818667,-0.7292319863460197,-0.48930795012347567,-0.44236240056284803
Zkscan5-217,-0.9758205031490743,-0.3752503999587054,-0.5276975408137268,-0.19063323670257037,-0.006686964265160926,-0.05893301565213198
Nr2f6-657,-0.3847159003461589,-0.2027701327306873,-0.24104055997273618,-0.3601656923373218,-0.5874407213195281,-0.3043260365424005
Nr5a2-675,-0.7658463671011861,-0.5665772298687919,-0.2115525575593475,-0.5270029106155847,-0.5250213174494718,-0.3926838659137332
Esrrg-676,-0.7658463671011861,-0.5665772298687919,-0.2115525575593475,-0.5270029106155847,-0.5250213174494718,-0.3926838659137332
Rxra-662,-0.6874468271641055,-0.5195793834837903,-0.09771598912196278,-0.590338913994304,-0.5719246355256645,-0.17932725179539416
Nr2f2-680,-0.6184729139793064,-0.2039580811879386,-0.24800458359544528,-0.5363645885919944,-0.49583371750119715,-0.2633708038740799
Hdx-495,-0.7751274481912906,-0.2901093191732084,-0.20136227668347964,-0.4032447829162937,-0.14627797658199224,-0.04629065246997901
Sp110-718,-0.8405982507995011,-0.3305833553423913,-0.4480424613920227,-0.03791128203609888,-0.15175965450130754,-0.16671130359016786
Ikzf1-149,-0.701843830863504,-0.05089719189993788,-0.13231998257178249,-0.05412491803600053,-0.21004407677331796,-0.16608066834750015
Ikzf4-796,-0.701843830863504,-0.05089719189993788,-0.13231998257178249,-0.05412491803600053,-0.21004407677331796,-0.16608066834750015
Atf2-112,-0.658697057259944,-0.9368059185566195,-0.02720639070729144,-0.7637194048630888,-0.3676320432567093,-0.33702005800890095
Jun-126,0.31233743879803677,-0.5640248991150166,-0.05107979446497679,-0.7380590291832015,-0.7964218581735154,-0.25133755228055293
Nr4a3-679,0.3982146971974207,-0.387498222584125,0.1448063446637656,-0.36850206050817375,-0.40426805046309855,-0.16532260869549603
Nfe2l2-101,0.33050150885779006,0.019240068182328488,-0.3581534871823404,-0.2270274002609149,-1.255693006616216,-0.3356672776802868
X9430076C15Rik-128,-1.178820548445713,-1.2505257881259868,-0.30961947500986964,-1.043555622759296,-0.6979948134790928,-0.6558647702771192
Cic-728,0.5365859449691578,-0.39817686341628195,-0.3694564103259618,-0.39971950833273906,-0.7483433756114289,-0.2280126764320311
Batf3-789,-0.47323900276185554,-0.6713070342792334,-0.48189640310081117,-0.6336531815420404,-0.8701955055117345,-0.4272036923850847
Batf-790,-0.47323900276185554,-0.6713070342792334,-0.48189640310081117,-0.6336531815420404,-0.8701955055117345,-0.4272036923850847
Cebpa-115,-0.22818842851351578,-0.8702129732708798,1.0845766171616664,-0.7519974125139741,-0.3150998223186144,0.4247651716085462
Nfil3-138,-0.2829530235692593,-0.6099241690489621,0.9489481107642188,-0.6203355270086468,-0.3072284543001311,0.07182116506955245
Atf4-121,-0.06734855405893767,-0.6063378198511299,0.6272828831286162,-0.00902211600309049,0.12674764484713394,0.22606643607701574
Ddit3-788,0.7137815592128887,-0.15555127922153217,0.6234732941586234,-0.058052779118190186,-0.047426037170861884,0.16054895766597524
Atf1-106,-0.10498829401569404,-0.5945172952670105,0.5507339140918455,-0.3730750484191527,-0.4820701739843969,0.023129608673520284
Setbp1-12,0.12969013826446368,-0.20794102107629467,0.4213568822648879,-0.23507491400559008,0.23731715060964312,0.08904590106095744
Hes2-51,0.49204268278075286,0.15689631036374607,0.32080473090972284,-0.23140025493060365,-0.046894509662761555,0.13532027435530947
Dmrt1-251,-0.09318067711387387,-0.2666882603968179,0.19381964069551924,-0.3471048442894373,-0.07877111972221947,0.09439770097573442
Cebpe-125,-0.4260307221104993,-0.6113396912941268,0.7929364578392014,-0.41961202800004954,-0.004252591819848028,0.40518820157821367
Naif1-637,-0.23925525156024618,-0.5690482628550958,0.6038506718994281,-0.3812266229523857,0.07850897205635213,0.24396670671307458
Hlf-99,-0.054937933685415455,-0.1672929755469563,0.7751057673906006,-0.2850266108474565,-0.24486369684842554,0.24182771029153322
Nfil3-131,0.15749870804559127,-0.610907732921423,0.8458770071990671,-0.48362141150201937,-0.36873670240195944,0.15075833898617083
Pou3f3-540,-0.012194641256842137,-0.5474021391815245,0.8505716269410699,-0.45663474474843746,-0.2639636304390558,0.2944195899691268
Tef-105,-0.11047521837772276,-0.46066819836887457,0.7020925430346668,-0.21765706939927096,-0.31177893766050235,0.16173529128285744
Dbp-133,0.03372501150183288,-0.3928960004583519,0.91583597359967,-0.1756687313879872,-0.2858624053801822,0.28166844202801766
Nfix-722,-0.07133432741719237,0.7736436281646177,0.009569573855630245,0.72309238989115,0.3897266364742952,0.30361472104014053
Nhlh2-84,-0.013102674170821671,0.5503030568292939,-0.3575489170230481,0.36351315300251263,0.08625088344982157,-0.04971934732185668
Tal1-782,-0.49731654164802785,0.5515385316976285,-0.4851742016549169,0.471137095392927,0.09377435501693855,-0.03521016958807037
Lyl1-783,-0.49731654164802785,0.5515385316976285,-0.4851742016549169,0.471137095392927,0.09377435501693855,-0.03521016958807037
Myod1-24,-0.43717848483839644,0.4437304611020939,-0.23811137752679298,0.7725443243313788,0.5008173390982542,0.1683602522814972
Irf3-630,-0.1645508718189373,-0.09358954034661586,-0.38380666651298617,0.35530552178027347,0.29795626722205437,0.07071409330287758
Myf5-778,0.058119634553275845,0.3789999223487833,-0.11983971727973342,0.5198287735631145,0.4228883538417601,0.12405416461029208
Tbx4-761,1.0668864487915402,0.2740363970189322,0.30709374307583015,0.3948507128519281,0.10101742772448806,0.048558773925704624
Dlx4-427,0.8400839190293639,0.14040574372961875,0.27097572419330546,0.12777319288414818,-0.11256687784395757,0.12906284038352286
Zfp161-209,0.6114136858526382,0.2179085009633888,0.18615778875625572,-0.009376551915480303,-0.06610011124861044,0.05540841984445099
Pou6f1-416,-0.1213435952354515,0.04366198530105708,0.15882811341174435,0.17621385342515655,0.05398805906009773,0.1367350940659664
Tbx5-764,0.38188156691569464,0.36833142633707083,0.31657057781440756,0.2840424070049991,-0.02635130388351183,0.06469702276644489
Gm5294-338,0.4005053625224179,-0.21010221601408258,0.13002125722962782,-0.1442176398038219,0.20436444688268796,0.05225608776285517
Foxl1-364,0.4005053625224179,-0.21010221601408258,0.13002125722962782,-0.1442176398038219,0.20436444688268796,0.05225608776285517
Foxl1-375,0.6178475234212126,0.025278671124609155,0.34591172723068225,0.15616026893274598,-0.04759318084993958,0.1585705306438637
Mnx1-402,0.3840940697960574,0.25447110143170465,0.09810665792028722,0.5118624375009225,-0.03364123745989594,0.18002992449476005
Dlx1-528,0.6586818463696837,0.1355510555966473,0.2407649908910655,0.23356325067186515,-0.01224498046949192,0.16156738327067297
Stat6-753,-0.69597759512385,-0.09272182745696429,-0.037587222477120624,-0.216774505835964,-0.07944154161200218,-0.05719243681818769
Six3-516,-0.20215634193535675,-0.12886653495618666,-0.0382697829895959,-0.27003337349085565,-0.6234286972499816,-0.22613114994218086
Pax2-612,0.07668687348336395,0.06074519575671728,-0.04043356279487755,0.10925711462626145,-0.011882863171104882,0.005599236943533039
Nr1h3-655,-0.24449927648192482,-0.22551096586531763,-0.3929809236507226,-0.20610704966929624,-0.33566732264867905,-0.1779123936417617
Nr1h2-688,-0.24449927648192482,-0.22551096586531763,-0.3929809236507226,-0.20610704966929624,-0.33566732264867905,-0.1779123936417617
Creb3l2-118,0.31745317922223004,0.10567736584708241,0.31356709403258665,-0.0900089499735436,0.002249329477081899,0.11734050739944585
Id2-33,0.0034039857447168004,-0.10470370866439448,0.09839168307936567,-0.14432266597622712,0.045555302505021246,0.1604939263123306
Id1-74,0.0034039857447168004,-0.10470370866439448,0.09839168307936567,-0.14432266597622712,0.045555302505021246,0.1604939263123306
Arnt-25,0.1617254995680572,0.17391287151499515,0.07778868312250749,-0.03787837951938306,-0.10786844445175253,0.04538297187542301
Bhlhe40-55,0.3831418674180967,-0.17031178006119366,0.1025663553292849,-0.24021738975070062,-0.01765602313098285,0.11915502873533712
Bcl6-162,-0.45427093806081,-0.2040311594568726,-0.004867693435008377,0.12808522255626328,0.1470810422188342,0.1207638667153098
Hic2-211,-0.38914076341629267,0.0777442516172803,-0.03962157810668194,0.3356145526142384,0.41122354821500906,0.011167269097027989
Nfatc1-703,-0.09159399622445193,0.13984201961702497,-0.2459716473725513,-0.15380100492174056,0.024510493533285823,-0.1173946200638895
Neurog2-49,-0.71206547801128,0.1285184128037915,0.20153074372720856,-0.032932085959503116,0.117687839758706,0.07376016419421835
E2f6-264,-0.6133304628335811,-0.03146911883773058,-0.106316467998459,-0.13419227176220838,-0.02905582280316289,0.0008062441625331411
Zfp281-193,0.5978360179012701,0.12393266767621872,0.13798202002145213,0.26454366853989986,0.3771208456893667,0.23626848673813122
Dlx6-477,-0.4696826194330379,-0.3109563696432898,0.11862038412840421,0.02592569975873039,0.255963653962242,-0.006995490575826688
Npas2-44,-0.613433465492815,0.1585884164817698,0.23796031386665026,0.010238199903798689,-0.04509684760750047,0.24529717558897884
Max-91,-0.34911933780930765,0.11683094905656342,0.2578896180133021,0.13391563333902914,-0.07863574776326422,0.14419023603035452
Hnf4a-665,-0.015478198157506506,0.2474359965186158,0.19360275628302695,-0.0792797000640547,0.13428407531385514,0.16214406586156502
Ubp1-836,-0.13079314214312002,0.10235416423588559,-0.017338910371662648,0.061340985871806177,0.04915514478953663,0.12468734610233691
Gfi1b-172,-0.5379603897296803,-0.04376147316847281,-0.23924799564524812,0.0017097550165336983,0.280827815885983,0.11525503844586919
NP-595,-0.14298162738971215,0.006276062246453853,-0.017292905475683105,0.3153000643276648,0.515695508293841,0.09352580671549991
Nkx22-462,-0.07849896272705448,0.1876361754646643,0.07382443516332513,0.11690289951573472,-0.10905655779806125,0.009440902298713515
Tbx18-866,0.08118834812758627,0.20991359490102487,-0.12995742415881525,-0.16330327811506404,0.1902934622885176,0.07191256638931888
Hoxb3-546,-0.24660145139378134,0.10342209067877768,0.06340716564127763,0.09194713667638295,0.02625008527604496,0.032246085649296506
T-771,0.10745668135380006,0.2167048505444626,0.15857807846254623,-0.06971625826430909,0.10936541757172727,-0.010016388132371446
En1-563,-0.18781423289534327,0.21143820905147273,-0.23971618521649013,0.3039803714694743,0.17164293997691127,0.14691180805888174
NP-596,-0.13658086158116423,0.021457504428950024,-0.27269731057134966,0.19987993571502197,0.029515757926572288,0.018488241067204446
NP-599,0.38778304795330554,0.3334746021410738,-0.19038202044582628,0.5144735513597529,0.28741634826251594,0.1175902727130877
Foxo1-314,-0.18668751145544057,0.15463064286531278,0.10593227048588677,0.5465007172922166,0.4378521380729646,0.17546040593171774
Foxq1-309,0.5064455103974248,0.3188898044047769,0.07240164356337336,0.3994921795245617,0.0771809371850505,0.010523123922943581
Emx1-491,0.17267113212915175,0.1376425917709478,0.11108932881711098,0.3619186315854421,0.223257116715267,0.1916234719388361
Hoxc12-550,-0.06976153150307628,0.05363619780934195,-0.19311505930649758,0.31460485319148884,0.31832374825624166,0.15418090012664112
Runx2-713,0.804409559297794,0.9632824949358293,-0.8505450692629349,1.1193510890293652,0.8602318310915203,0.25377128032480184
Atoh8-67,0.11980487021402206,0.3576734985922376,0.31772839401192066,1.037172162835266,1.0767168026332794,0.4373126694442296
Id3-22,0.28501811187016307,0.36342024013207547,0.4314389817138543,1.1464126664040433,0.9414465385282138,0.2857177153907909
Id4-35,0.28501811187016307,0.36342024013207547,0.4314389817138543,1.1464126664040433,0.9414465385282138,0.2857177153907909
Mesp2-57,0.7175591652135878,0.5478251142500016,0.35225678178588027,1.2399124501528394,0.7431753183828474,0.31595888200783034
Mesp1-58,0.7175591652135878,0.5478251142500016,0.35225678178588027,1.2399124501528394,0.7431753183828474,0.31595888200783034
Snai2-799,0.34369707794274845,0.2530380045217448,0.320978120531439,1.0578257197200638,0.6565252217313059,0.08591249698946024
Tcf3-31,0.6194362120240534,0.5856940059842219,0.18708396851104803,1.0911390505400584,0.6992937139156056,0.25222983987797426
Tcf4-88,0.5523739776719694,0.52686610738278,0.1789150913049605,1.1538879044151402,0.630635552809459,0.27337258480289484
E2f8-263,-0.19372089718611096,0.5267434377530378,0.06838462046956469,0.3848604619183896,0.3649760910231397,0.15736811062724584
Dbx1-480,0.1071985337276931,0.5500294222134744,-0.07746083566915946,0.6342763403351872,-0.01774356139210717,0.22341911706149073
Stat3-754,-0.03626789870935411,0.3730639644004587,0.11430982232006574,0.29502350036359576,0.18183639944609226,0.32432972739162463
Foxl1-355,0.23138938030710768,0.4941543982888062,0.34971018501040946,0.43119379200637353,0.07087100252771175,0.17548846349247518
Stat1-757,0.4957221353043971,0.5799396864219428,0.13625056729168372,0.33187067522807284,0.09636581879345593,0.34871691823651974
Arid3c-10,0.3502403859898645,0.5027627946624709,0.19368992481524416,0.4803076775175223,0.6012002400757913,0.25454973606810155
Arid3a-7,0.21288647047977233,0.7473223225473394,0.368870720166982,0.5084148580089072,0.47269419087931064,0.24978070926215595
Gm5294-337,0.3100201448230976,0.43253333132379157,0.20528600544817283,0.6265929875768859,0.22977854254197497,0.30607560893525615
Foxl1-358,0.3100201448230976,0.43253333132379157,0.20528600544817283,0.6265929875768859,0.22977854254197497,0.30607560893525615
